Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
Curtis Blaydes (12276591),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  50000.0,  875.0,,
Stephen Thompson (12276589),  John Makdessi (12276601),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  50000.0,  855.0,,
Stephen Thompson (12276589),  John Makdessi (12276601),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49800.0,  840.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49800.0,  840.0,,
John Makdessi (12276601),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49700.0,  840.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49900.0,  835.0,,
Stephen Thompson (12276589),  John Makdessi (12276601),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jussier Formiga (12276600),  Bryce Mitchell (12276603),  50000.0,  830.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Maycee Barber (12276595),  Chris Gutierrez (12276608),  Bryce Mitchell (12276603),  Jesus Pinedo (12276602),  50000.0,  830.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49900.0,  830.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jussier Formiga (12276600),  Bryce Mitchell (12276603),  50000.0,  830.0,,
John Makdessi (12276601),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  50000.0,  830.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  50000.0,  825.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49600.0,  825.0,,
John Makdessi (12276601),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49800.0,  825.0,,
Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49500.0,  825.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49700.0,  820.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Alexis Davis (12276597),  Chris Gutierrez (12276608),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  50000.0,  815.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  49900.0,  815.0,,
Stephen Thompson (12276589),  Maycee Barber (12276595),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jussier Formiga (12276600),  Bryce Mitchell (12276603),  49800.0,  815.0,,
John Makdessi (12276601),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49900.0,  815.0,,
Maycee Barber (12276595),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49800.0,  815.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Justin Willis (12276592),  49900.0,  815.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  50000.0,  810.0,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jussier Formiga (12276600),  Bryce Mitchell (12276603),  49900.0,  810.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49600.0,  810.0,,
Maycee Barber (12276595),  Bobby Moffett (12276604),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49900.0,  805.0,,
Maycee Barber (12276595),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49400.0,  805.0,,
Curtis Blaydes (12276591),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49500.0,  800.0,,
Maycee Barber (12276595),  Bobby Moffett (12276604),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Jesus Pinedo (12276602),  50000.0,  800.0,,
Maycee Barber (12276595),  Alexis Davis (12276597),  Deiveson Figueiredo (12276599),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49700.0,  800.0,,
,,,,,,,,,
,,,,,,,,,
BackTest Sorted by process of SLPM and single elimination by ascending order,,,"Purpose: If we have a faulty reading for one of the fighters, then the mistake propogates unless we get rid of the bad seed for the rest of the lineups",,,,,,
John Makdessi (12276601),  Maycee Barber (12276595),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49500.0,  34.190000000000005,,
John Makdessi (12276601),  Maycee Barber (12276595),  Bobby Moffett (12276604),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49700.0,  33.65,,
John Makdessi (12276601),  Maycee Barber (12276595),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49300.0,  33.24,,
John Makdessi (12276601),  Maycee Barber (12276595),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49200.0,  32.84,,
John Makdessi (12276601),  Maycee Barber (12276595),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  Justin Willis (12276592),  48800.0,  32.84,,
Removing Barber,,,,,,,,,
John Makdessi (12276601),  Bobby Moffett (12276604),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49400.0,  29.370000000000005,,
Stephen Thompson (12276589),  John Makdessi (12276601),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49900.0,  29.18,,
John Makdessi (12276601),  Alexis Davis (12276597),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  49000.0,  28.96,,
John Makdessi (12276601),  Alexis Davis (12276597),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  48900.0,  28.560000000000002,,
John Makdessi (12276601),  Alexis Davis (12276597),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  Justin Willis (12276592),  48500.0,  28.560000000000002,,
Removing Makdessi,,,,,,,,,
Bobby Moffett (12276604),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  47400.0,  27.880000000000003,,
